iter	RMSE
0	192954.418
1	187913.7692
2	183002.5035
3	178194.1306
4	173584.8772
5	169074.874
6	164516.5666
7	160286.571
8	156175.6347
9	152238.7678
10	148253.0713
11	144464.4684
12	140853.751
13	137378.1332
14	133875.4756
15	130466.2371
16	127129.2279
17	123923.8215
18	120806.2322
19	117803.833
20	114954.1361
21	112077.5675
22	109333.0011
23	106870.8907
24	104291.7056
25	101783.1186
26	99335.431
27	97104.80989
28	94816.71108
29	92466.68356
30	90252.90922
31	88090.42404
32	86067.05355
33	84184.66796
34	82277.03375
35	80402.13371
36	78632.45082
37	76862.60238
38	75275.805
39	73696.79729
40	72113.10709
41	70536.48218
42	69085.98661
43	67711.6993
44	66358.81354
45	65031.01625
46	63728.08455
47	62515.57885
48	61267.10792
49	60142.69207
50	58970.97007
51	57852.20197
52	56740.45576
53	55765.2553
54	54763.69718
55	53820.82478
56	52808.67027
57	51926.8467
58	51009.82677
59	50231.5635
60	49410.74863
61	48601.05503
62	47810.30944
63	47019.4467
64	46240.95634
65	45494.81105
66	44825.96567
67	44167.56884
68	43532.62001
69	42868.74196
70	42272.00761
71	41663.12324
72	41103.53092
73	40545.15162
74	40029.76406
75	39537.24498
76	39076.23102
77	38633.88349
78	38239.2573
79	37822.12436
80	37377.63457
81	37012.41923
82	36578.23259
83	36147.49331
84	35808.52764
85	35428.69197
86	35134.82355
87	34789.38873
88	34417.08059
89	34158.4613
90	33806.73538
91	33546.94617
92	33288.10037
93	33002.16523
94	32720.19313
95	32416.38802
96	32169.42722
97	31914.80537
98	31695.4449
99	31497.19906
100	31242.59122
101	30985.71544
102	30839.45773
103	30663.43349
104	30489.56795
105	30330.6011
106	30118.81041
107	29994.42061
108	29790.20641
109	29653.11153
110	29499.37172
111	29274.10495
112	29075.88369
113	28921.02377
114	28729.29359
115	28581.14818
116	28490.64306
117	28364.96827
118	28251.29507
119	28087.77376
120	27970.55928
121	27865.21963
122	27798.64477
123	27730.07028
124	27581.41936
125	27471.10376
126	27381.59964
127	27244.09137
128	27181.0402
129	27105.43954
130	27011.75488
131	26911.31277
132	26803.86238
133	26678.99548
134	26556.26392
135	26424.17197
136	26322.19022
137	26212.6595
138	26130.92216
139	26053.40029
140	25991.08543
141	25961.20409
142	25878.51078
143	25756.62631
144	25674.55672
145	25625.82706
146	25551.9172
147	25446.43177
148	25364.71661
149	25297.04112
150	25214.47388
151	25158.18122
152	25068.50079
153	25035.06204
154	24942.1674
155	24882.97912
156	24793.32923
157	24700.03684
158	24644.91641
159	24582.77067
160	24549.99673
161	24490.8946
162	24421.97997
163	24346.37675
164	24312.93353
165	24280.95537
166	24241.55635
167	24180.21276
168	24091.86
169	24033.11276
170	23975.97122
171	23928.40735
172	23858.47781
173	23805.13784
174	23791.30508
175	23744.00513
176	23690.47572
177	23664.34143
178	23596.73326
179	23526.416
180	23495.13462
181	23487.86094
182	23438.62302
183	23360.12142
184	23270.30472
185	23228.75712
186	23188.57788
187	23120.50751
188	23076.89138
189	23025.72181
190	23020.49984
191	22989.42556
192	22938.17285
193	22890.27992
194	22870.60831
195	22835.26918
196	22810.84828
197	22775.76064
198	22715.63488
199	22674.31036
200	22649.45908
201	22627.91193
202	22617.69093
203	22602.08656
204	22564.88626
205	22538.87466
206	22489.79579
207	22459.46888
208	22427.62296
209	22391.44632
210	22331.41906
211	22306.22508
212	22267.3539
213	22226.92334
214	22200.78253
215	22149.39423
216	22132.82075
217	22102.1586
218	22066.16894
219	22049.11006
220	22038.11486
221	22028.73554
222	21999.20163
223	21990.85877
224	21944.77482
225	21913.12393
226	21895.66561
227	21841.44457
228	21813.64398
229	21798.55802
230	21765.43985
231	21745.62876
232	21739.84657
233	21695.67042
234	21674.76011
235	21657.07126
236	21641.25456
237	21614.10023
238	21567.55346
239	21496.64747
240	21486.07521
241	21455.14881
242	21401.84857
243	21368.64226
244	21314.21385
245	21297.38085
246	21261.54879
247	21241.98461
248	21212.76778
249	21209.22185
250	21170.25722
251	21130.5489
252	21119.28464
253	21114.94463
254	21102.09527
255	21082.91864
256	21053.35704
257	21042.48618
258	21030.44338
259	21013.68781
260	20987.62392
261	20972.16461
262	20938.18903
263	20934.80801
264	20886.57363
265	20861.12405
266	20814.82767
267	20791.33944
268	20726.52739
269	20713.67164
270	20710.14253
271	20697.39425
272	20683.01806
273	20650.94161
274	20640.26989
275	20622.25096
276	20611.34422
277	20591.1126
278	20585.39189
279	20577.72731
280	20567.82025
281	20550.66374
282	20533.70117
283	20525.45111
284	20512.67804
285	20480.8124
286	20472.2938
287	20464.07359
288	20418.96433
289	20409.6733
290	20393.46321
291	20364.44104
292	20347.69926
293	20337.0111
294	20328.23146
295	20320.04916
296	20292.03953
297	20280.62609
298	20271.06584
299	20261.18482
300	20256.10353
301	20245.03796
302	20204.70015
303	20176.80135
304	20169.51384
305	20159.10874
306	20150.28507
307	20140.30113
308	20128.35987
309	20123.21761
310	20113.51808
311	20107.83469
312	20101.24866
313	20082.80607
314	20046.20017
315	20034.99131
316	20029.21841
317	20015.37813
318	19989.28396
319	19978.45192
320	19966.58307
321	19960.99931
322	19914.33359
323	19894.27559
324	19886.02045
325	19869.08325
326	19838.37036
327	19821.46616
328	19792.70983
329	19774.26086
330	19761.82578
331	19755.82666
332	19733.8923
333	19725.06868
334	19720.19857
335	19713.82698
336	19707.31164
337	19700.35856
338	19671.98276
339	19657.39896
