iter	Passed	Remaining
0	82	82384
1	107	53856
2	124	41382
3	137	34286
4	152	30289
5	165	27364
6	176	25043
7	188	23419
8	201	22174
9	213	21153
10	225	20303
11	243	20040
12	257	19545
13	271	19090
14	281	18505
15	290	17874
16	298	17284
17	311	16976
18	320	16536
19	330	16184
20	337	15741
21	346	15401
22	354	15042
23	361	14703
24	368	14383
25	376	14101
26	383	13830
27	391	13589
28	398	13343
29	405	13121
30	413	12919
31	421	12737
32	427	12541
33	435	12378
34	443	12219
35	450	12073
36	458	11927
37	465	11795
38	473	11672
39	480	11539
40	487	11409
41	494	11290
42	501	11169
43	509	11067
44	516	10968
45	524	10871
46	531	10769
47	538	10679
48	546	10597
49	553	10522
50	561	10450
51	568	10368
52	576	10293
53	583	10228
54	592	10173
55	600	10119
56	611	10111
57	624	10137
58	638	10176
59	655	10269
60	671	10338
61	689	10438
62	704	10484
63	719	10519
64	736	10593
65	752	10652
66	765	10666
67	784	10747
68	798	10770
69	812	10793
70	826	10808
71	836	10785
72	844	10721
73	857	10731
74	873	10772
75	886	10776
76	899	10778
77	913	10798
78	924	10782
79	933	10731
80	940	10672
81	948	10614
82	954	10551
83	962	10497
84	971	10458
85	979	10405
86	986	10349
87	994	10301
88	1002	10257
89	1009	10205
90	1017	10159
91	1023	10106
92	1031	10056
93	1039	10015
94	1046	9969
95	1054	9926
96	1061	9884
97	1069	9840
98	1076	9795
99	1084	9756
100	1091	9711
101	1098	9671
102	1106	9635
103	1113	9593
104	1122	9563
105	1129	9529
106	1136	9487
107	1144	9452
108	1151	9413
109	1159	9382
110	1166	9343
111	1173	9302
112	1184	9301
113	1201	9336
114	1211	9324
115	1222	9319
116	1231	9292
117	1238	9256
118	1245	9223
119	1253	9192
120	1261	9161
121	1268	9131
122	1275	9096
123	1283	9064
124	1290	9032
125	1296	8994
126	1304	8968
127	1311	8934
128	1319	8907
129	1326	8878
130	1333	8847
131	1340	8817
132	1348	8788
133	1354	8756
134	1362	8728
135	1369	8697
136	1376	8671
137	1383	8642
138	1390	8616
139	1398	8590
140	1405	8563
141	1412	8534
142	1422	8525
143	1430	8505
144	1440	8495
145	1450	8482
146	1460	8476
147	1468	8454
148	1479	8447
149	1487	8427
150	1497	8418
151	1506	8406
152	1515	8390
153	1525	8382
154	1533	8361
